Provider_Business_Practice_Location_Address_State_Name,CLASSIFICATION,Provider_Gender_Code,COUNT_
INTERNATIONAL,No Specialty Listed,F,1
BUENOS AIRES,No Specialty Listed,F,1
CLARK COUNTY,No Specialty Listed,F,1
DC,No Specialty Listed,F,14163
OKLAHOMA,No Specialty Listed,F,4
CAGUAS,No Specialty Listed,F,1
DELAWARE,No Specialty Listed,F,1
GUAM,No Specialty Listed,F,9
COOK,No Specialty Listed,F,1
OXON,No Specialty Listed,F,1
KENTUCKY,No Specialty Listed,F,1
TAMPA,No Specialty Listed,F,1
SUFFOLK,No Specialty Listed,F,2
MD,No Specialty Listed,F,34913
MEXICO,No Specialty Listed,F,1
JERUSALEM,No Specialty Listed,F,2
HARYANA,No Specialty Listed,F,1
SAIPAN,No Specialty Listed,F,1
CA - CALIFORNIA,No Specialty Listed,F,1
AR,No Specialty Listed,F,20998
PR - PUERTO RICO,No Specialty Listed,F,1
NEW MEXICO,No Specialty Listed,F,1
RIO DE JANEIRO,No Specialty Listed,F,1
NEW JERSEY,No Specialty Listed,F,3
HONG KONG,No Specialty Listed,F,1
FUJIAN,No Specialty Listed,F,1
FL.,No Specialty Listed,F,1
NM,No Specialty Listed,F,16472
SHANGHAI,No Specialty Listed,F,2
KY,No Specialty Listed,F,23333
"NAKAGAMI-GUN, OKINAWA",No Specialty Listed,F,1
MOHANDISEEN,No Specialty Listed,F,1
BRITISH COLUMBIA,No Specialty Listed,F,7
GYEONGGI DO,No Specialty Listed,F,1
AA,No Specialty Listed,F,46
WAIKATO,No Specialty Listed,F,1
ORANGE COUNTY,No Specialty Listed,F,1
SP,No Specialty Listed,F,1
RAMAT GAN,No Specialty Listed,F,1
GE,No Specialty Listed,F,1
SD,No Specialty Listed,F,4393
LA,No Specialty Listed,F,25911
UTRECHT,No Specialty Listed,F,1
WY,No Specialty Listed,F,4635
MN,No Specialty Listed,F,28170
EAST AFRICA,No Specialty Listed,F,1
GEORGIA,No Specialty Listed,F,3
NEBRASKA,No Specialty Listed,F,1
MASSACHUSETTS,No Specialty Listed,F,1
MERCAZ,No Specialty Listed,F,1
APO,No Specialty Listed,F,2
RI,No Specialty Listed,F,6267
MINBURI,No Specialty Listed,F,1
U.S.,No Specialty Listed,F,1
GERMANH,No Specialty Listed,F,1
MANCHESTER,No Specialty Listed,F,1
NY,No Specialty Listed,F,182469
KOREA,No Specialty Listed,F,2
GA,No Specialty Listed,F,37799
IL,No Specialty Listed,F,60524
VT,No Specialty Listed,F,3887
PEOPLE REPLIC OF KOREA,No Specialty Listed,F,1
DE,No Specialty Listed,F,6097
RHINELAND-PFALZ,No Specialty Listed,F,1
RIZAL,No Specialty Listed,F,1
CT,No Specialty Listed,F,22153
FP,No Specialty Listed,F,1
TENNESSEE,No Specialty Listed,F,4
ST. JAMES,No Specialty Listed,F,1
DUBAI,No Specialty Listed,F,1
IA,No Specialty Listed,F,10703
ISTANBUL,No Specialty Listed,F,1
PW,No Specialty Listed,F,9
OR,No Specialty Listed,F,35141
ID,No Specialty Listed,F,6979
KYOTO,No Specialty Listed,F,1
KINGS,No Specialty Listed,F,1
NH,No Specialty Listed,F,8847
AZ,Dentist,F,664
GA,Dentist,F,1046
SC,Dentist,F,509
CA,Dentist,F,7008
MT,Dentist,F,90
MARYLAND,Dentist,F,1
PR,Dentist,F,311
ONTARIO,Dentist,F,5
SINGAPORE,Dentist,F,1
AR,Dentist,F,179
VT,Dentist,F,59
NC,Dentist,F,1102
"TIJUANA, BAJA CALIFORNIA",Dentist,F,1
MX,Dentist,F,1
ND,Dentist,F,88
ALBERTA,Dentist,F,2
SD,Dentist,F,68
NV,Dentist,F,357
ME,Dentist,F,136
AP,Dentist,F,63
MO,Dentist,F,558
B.C.,Dentist,F,1
PUERTO RICO,Dentist,F,1
XX,Dentist,F,1
MD,Dentist,F,1028
CHIHUAHUA,Dentist,F,10
CALIFORNIA,Dentist,F,1
LA,Dentist,F,468
VI,Dentist,F,9
TAMAULIPAS,Dentist,F,5
CHIH.,Dentist,F,1
FPO AP,Dentist,F,1
WI,Dentist,F,628
KS,Dentist,F,245
NH,Dentist,F,155
AL,Dentist,F,335
BAVARIA,Dentist,F,1
IN,Dentist,F,625
TX,Dentist,F,4015
OR,Dentist,F,539
BRANDON,Dentist,F,1
HI,Dentist,F,145
GUAM,Dentist,F,2
KIRCHBERG,Dentist,F,1
NM,Dentist,F,211
AS,Dentist,F,1
MN,Dentist,F,707
MP,Dentist,F,5
SONORA,Dentist,F,1
MI,Dentist,F,1227
TI,Dentist,F,1
FL,Dentist,F,2946
WY,Dentist,F,46
TAMPS,Dentist,F,1
VA,Dentist,F,1147
CHIH,Dentist,F,3
B.C,Dentist,F,1
ILE DE FRANCE,Dentist,F,1
CT,Dentist,F,551
OK,Dentist,F,355
GANGNAMKU,Dentist,F,1
CENTRAL REGION,Dentist,F,1
NY,Dentist,F,3023
WV,Dentist,F,175
RHEINLAND PFALZ,Dentist,F,1
TN,Dentist,F,564
IL,Dentist,F,1931
NJ,Dentist,F,1322
ON,Dentist,F,1
SUFFOLK,Dentist,F,1
GERMANY,Dentist,F,1
TIJUANA BC,Dentist,F,1
OH,Dentist,F,1159
CO,Dentist,F,819
AA,Dentist,F,17
AMORI-KEN,Dentist,F,1
PA,Dentist,F,1550
BW,Dentist,F,1
GU,Dentist,F,10
BC,Dentist,F,4
FLORIDA,Dentist,F,2
WA,Dentist,F,1079
ISRAEL,Dentist,F,1
UT,Dentist,F,84
NE,Dentist,F,260
BAJA CALIFORNIA,Dentist,F,59
AK,Dentist,F,115
RI,Dentist,F,101
MS,Dentist,F,252
KY,Dentist,F,628
DE,Dentist,F,74
COAHUILA,Dentist,F,1
TEXAS,Dentist,F,1
MA,Dentist,F,1705
DC,Dentist,F,224
ONT,Dentist,F,1
ID,Dentist,F,71
AE,Dentist,F,60
IA,Dentist,F,360
NC,Surgery,F,207
AE,Surgery,F,3
MO,Surgery,F,190
VA,Surgery,F,135
WY,Surgery,F,4
UT,Surgery,F,40
WV,Surgery,F,29
TX,Surgery,F,552
ALBERTA,Surgery,F,1
WA,Surgery,F,207
NE,Surgery,F,44
CT,Surgery,F,108
GU,Surgery,F,1
VT,Surgery,F,13
CA,Surgery,F,746
SD,Surgery,F,17
VI,Surgery,F,1
IL,Surgery,F,385
KY,Surgery,F,95
MI,Surgery,F,373
WI,Surgery,F,173
SERBIA,Surgery,F,1
AZ,Surgery,F,202
KS,Surgery,F,63
IA,Surgery,F,89
NM,Surgery,F,58
0,Surgery,F,1
FL,Surgery,F,343
NV,Surgery,F,45
DE,Surgery,F,19
PR,Surgery,F,29
AL,Surgery,F,50
SC,Surgery,F,120
NH,Surgery,F,50
MS,Surgery,F,25
AK,Surgery,F,21
RI,Surgery,F,70
GA,Surgery,F,186
MD,Surgery,F,180
OR,Surgery,F,111
NJ,Surgery,F,160
TN,Surgery,F,111
DC,Surgery,F,52
PA,Surgery,F,547
MN,Surgery,F,158
CO,Surgery,F,145
HI,Surgery,F,24
OK,Surgery,F,68
ENGLAND,Surgery,F,1
LA,Surgery,F,69
MT,Surgery,F,22
IN,Surgery,F,108
ME,Surgery,F,58
OH,Surgery,F,283
AR,Surgery,F,37
NSW,Surgery,F,1
NY,Surgery,F,458
NC - NORTH CAROLINA,Surgery,F,1
ID,Surgery,F,18
ND,Surgery,F,27
MA,Surgery,F,339
IL,Urology,F,53
CA,Urology,F,138
CO,Urology,F,19
SC,Urology,F,14
OH,Urology,F,37
MS,Urology,F,2
FL,Urology,F,37
DC,Urology,F,11
OR,Urology,F,18
NH,Urology,F,6
NV,Urology,F,8
MI,Urology,F,45
IA,Urology,F,10
WI,Urology,F,31
MD,Urology,F,22
NY,Urology,F,69
HI,Urology,F,6
WY,Urology,F,1
ID,Urology,F,8
GU,Urology,F,1
UT,Urology,F,5
NE,Urology,F,6
ND,Urology,F,2
MN,Urology,F,30
NC,Urology,F,27
KS,Urology,F,5
WA,Urology,F,41
VT,Urology,F,6
SD,Urology,F,2
RI,Urology,F,9
CT,Urology,F,19
NJ,Urology,F,16
AR,Urology,F,2
GA,Urology,F,35
PA,Urology,F,61
NM,Urology,F,9
AZ,Urology,F,17
DE,Urology,F,5
WV,Urology,F,2
MA,Urology,F,35
AK,Urology,F,3
ME,Urology,F,3
KY,Urology,F,17
TX,Urology,F,79
OK,Urology,F,4
MO,Urology,F,17
AL,Urology,F,10
MT,Urology,F,5
IN,Urology,F,17
PR,Urology,F,3
LA,Urology,F,17
VA,Urology,F,17
TN,Urology,F,21
MD,Denturist,F,1
AZ,Denturist,F,1
KY,Denturist,F,1
CO,Denturist,F,2
OR,Denturist,F,18
ID,Denturist,F,4
NY,Denturist,F,2
WA,Denturist,F,23
MT,Denturist,F,1
ME,Denturist,F,14
CA,Denturist,F,2
CHIHUAHUA,Denturist,F,1
IL,Pathology,F,277
AE,Pathology,F,3
GA,Pathology,F,126
WY,Pathology,F,7
TN,Pathology,F,144
WI,Pathology,F,106
ONTARIO,Pathology,F,2
AB,Pathology,F,1
OR,Pathology,F,56
HI,Pathology,F,17
AR,Pathology,F,58
NC,Pathology,F,133
TX,Pathology,F,495
KY,Pathology,F,83
AL,Pathology,F,69
ID,Pathology,F,8
DE,Pathology,F,18
NM,Pathology,F,48
BRITISH COLUMBIA,Pathology,F,1
MD,Pathology,F,128
CO,Pathology,F,84
VA,Pathology,F,110
WA,Pathology,F,103
DC,Pathology,F,38
BERMUDA,Pathology,F,1
MB,Pathology,F,1
PR,Pathology,F,26
RI,Pathology,F,29
MA,Pathology,F,283
PA,Pathology,F,328
AZ,Pathology,F,115
NV,Pathology,F,27
WV,Pathology,F,27
ME,Pathology,F,19
UT,Pathology,F,31
VT,Pathology,F,22
MN,Pathology,F,170
IN,Pathology,F,73
NJ,Pathology,F,114
OK,Pathology,F,53
MS,Pathology,F,45
NE,Pathology,F,39
NH,Pathology,F,29
NUEVO LEON,Pathology,F,1
MT,Pathology,F,11
NB,Pathology,F,1
CT,Pathology,F,94
BC,Pathology,F,1
AP,Pathology,F,3
MO,Pathology,F,145
BRAZIL,Pathology,F,1
ND,Pathology,F,16
GU,Pathology,F,1
MI,Pathology,F,166
SC,Pathology,F,73
NY,Pathology,F,430
CA,Pathology,F,505
SD,Pathology,F,17
QUEBEC,Pathology,F,1
OH,Pathology,F,262
DHCC,Pathology,F,1
KS,Pathology,F,45
AK,Pathology,F,4
IA,Pathology,F,62
LA,Pathology,F,97
FL,Pathology,F,334
SWITZERLAND,Pathology,F,1
KS,Radiology,F,47
DE,Radiology,F,42
NE,Radiology,F,47
KY,Radiology,F,119
MT,Radiology,F,16
CA,Radiology,F,937
PR,Radiology,F,62
MN,Radiology,F,192
TN,Radiology,F,154
OH,Radiology,F,367
OK,Radiology,F,91
LA,Radiology,F,84
DC,Radiology,F,65
VT,Radiology,F,15
KARNATAKA,Radiology,F,1
TX,Radiology,F,673
FL,Radiology,F,497
CT,Radiology,F,162
ND,Radiology,F,12
IA,Radiology,F,50
RI,Radiology,F,41
HI,Radiology,F,26
SC,Radiology,F,81
AK,Radiology,F,10
AL,Radiology,F,70
ME,Radiology,F,28
NJ,Radiology,F,269
ON,Radiology,F,1
ID,Radiology,F,22
MO,Radiology,F,211
SD,Radiology,F,21
NY,Radiology,F,878
UT,Radiology,F,42
GA,Radiology,F,189
NM,Radiology,F,54
CO,Radiology,F,166
NC,Radiology,F,229
GU,Radiology,F,2
MD,Radiology,F,244
WV,Radiology,F,24
WI,Radiology,F,180
OR,Radiology,F,93
MIDDLE EAST,Radiology,F,1
IL,Radiology,F,349
WA,Radiology,F,264
AZ,Radiology,F,178
WY,Radiology,F,6
IN,Radiology,F,149
PA,Radiology,F,561
NH,Radiology,F,44
MI,Radiology,F,287
VA,Radiology,F,231
NV,Radiology,F,44
MS,Radiology,F,38
MA,Radiology,F,460
AR,Radiology,F,50
CALIFORNIA,Pediatrics,F,1
ID,Pediatrics,F,71
PA,Pediatrics,F,2168
MA,Pediatrics,F,1667
AFRICA,Pediatrics,F,1
IA,Pediatrics,F,307
NJ,Pediatrics,F,1128
NM,Pediatrics,F,268
AZ,Pediatrics,F,668
HI,Pediatrics,F,122
UAE,Pediatrics,F,1
ON,Pediatrics,F,2
AE,Pediatrics,F,15
VI,Pediatrics,F,1
ILOILO,Pediatrics,F,1
NV,Pediatrics,F,189
AK,Pediatrics,F,81
VA,Pediatrics,F,1004
NEW BRUNSWICK,Pediatrics,F,1
OK,Pediatrics,F,348
DE,Pediatrics,F,217
OH,Pediatrics,F,1974
MO,Pediatrics,F,1052
MT,Pediatrics,F,69
OR,Pediatrics,F,431
SA,Pediatrics,F,1
NY,Pediatrics,F,3107
ME,Pediatrics,F,173
GU,Pediatrics,F,6
(MI),Pediatrics,F,1
KENTUCKY,Pediatrics,F,1
SACATEPEQUEZ,Pediatrics,F,1
KY,Pediatrics,F,534
BERLIN,Pediatrics,F,1
PR,Pediatrics,F,290
MS,Pediatrics,F,256
FL,Pediatrics,F,2271
WY,Pediatrics,F,25
METRO MANILA,Pediatrics,F,1
VT,Pediatrics,F,101
ND,Pediatrics,F,55
AR,Pediatrics,F,256
AA,Pediatrics,F,1
TN,Pediatrics,F,749
MN,Pediatrics,F,695
SC,Pediatrics,F,672
AP,Pediatrics,F,9
GA,Pediatrics,F,1086
TX,Pediatrics,F,3260
CO,Pediatrics,F,793
QC,Pediatrics,F,1
CT,Pediatrics,F,535
SD,Pediatrics,F,74
MADRID,Pediatrics,F,1
IL,Pediatrics,F,1783
IN,Pediatrics,F,733
CRETE,Pediatrics,F,1
MIRANDA,Pediatrics,F,1
PUERTO RICO,Pediatrics,F,2
ONTARIO,Pediatrics,F,2
LA,Pediatrics,F,521
NC,Pediatrics,F,1305
WV,Pediatrics,F,163
SINGAPORE,Pediatrics,F,1
U.P.,Pediatrics,F,1
NH,Pediatrics,F,179
WA,Pediatrics,F,890
KS,Pediatrics,F,230
MI,Pediatrics,F,1227
MD,Pediatrics,F,924
RI,Pediatrics,F,296
GRO,Pediatrics,F,1
BRITISH COLUMBIA,Pediatrics,F,1
CA,Pediatrics,F,4372
WI,Pediatrics,F,707
NE,Pediatrics,F,213
MIDDLESEX,Pediatrics,F,1
DC,Pediatrics,F,365
AL,Pediatrics,F,391
UT,Pediatrics,F,260
IL,Phlebology,F,3
GA,Phlebology,F,1
MA,Phlebology,F,3
MS,Phlebology,F,1
CA,Phlebology,F,3
NM,Phlebology,F,2
MD,Phlebology,F,1
OH,Phlebology,F,2
PA,Phlebology,F,1
NY,Phlebology,F,1
NC,Phlebology,F,1
TX,Phlebology,F,1
FL,Phlebology,F,2
VA,Phlebology,F,1
AK,Phlebology,F,1
ME,Phlebology,F,1
LA,Podiatrist,F,41
WV,Podiatrist,F,12
ND,Podiatrist,F,6
AZ,Podiatrist,F,83
AP,Podiatrist,F,1
CA,Podiatrist,F,386
NJ,Podiatrist,F,211
MS,Podiatrist,F,17
AL,Podiatrist,F,34
FL,Podiatrist,F,357
MA,Podiatrist,F,109
PA,Podiatrist,F,347
UT,Podiatrist,F,8
NC,Podiatrist,F,71
KS,Podiatrist,F,14
WY,Podiatrist,F,1
TN,Podiatrist,F,44
NM,Podiatrist,F,22
VT,Podiatrist,F,7
MD,Podiatrist,F,101
VA,Podiatrist,F,93
OR,Podiatrist,F,36
PW,Podiatrist,F,1
NH,Podiatrist,F,13
ID,Podiatrist,F,2
SC,Podiatrist,F,38
RI,Podiatrist,F,19
NE,Podiatrist,F,11
SD,Podiatrist,F,7
ME,Podiatrist,F,17
AR,Podiatrist,F,16
MN,Podiatrist,F,59
MI,Podiatrist,F,167
MO,Podiatrist,F,59
IA,Podiatrist,F,44
AK,Podiatrist,F,3
VI,Podiatrist,F,2
WA,Podiatrist,F,76
TX,Podiatrist,F,244
OK,Podiatrist,F,16
NY,Podiatrist,F,466
CO,Podiatrist,F,57
IN,Podiatrist,F,69
CT,Podiatrist,F,56
HI,Podiatrist,F,11
IL,Podiatrist,F,282
MT,Podiatrist,F,3
PR,Podiatrist,F,11
GU,Podiatrist,F,3
NV,Podiatrist,F,17
OH,Podiatrist,F,231
DC,Podiatrist,F,14
DE,Podiatrist,F,15
WI,Podiatrist,F,64
KY,Podiatrist,F,47
GA,Podiatrist,F,111
LA,Dermatology,F,87
NV,Dermatology,F,26
IN,Dermatology,F,85
MT,Dermatology,F,14
ID,Dermatology,F,8
VT,Dermatology,F,10
MN,Dermatology,F,126
ND,Dermatology,F,13
NJ,Dermatology,F,150
CT,Dermatology,F,84
AR,Dermatology,F,21
WY,Dermatology,F,2
IA,Dermatology,F,41
OH,Dermatology,F,189
WI,Dermatology,F,113
EASTERN,Dermatology,F,1
TN,Dermatology,F,82
VA,Dermatology,F,158
NY,Dermatology,F,425
PA,Dermatology,F,255
GU,Dermatology,F,1
MA,Dermatology,F,263
HI,Dermatology,F,24
NC,Dermatology,F,170
AK,Dermatology,F,9
ME,Dermatology,F,18
VI,Dermatology,F,1
OK,Dermatology,F,39
WA,Dermatology,F,135
CA,Dermatology,F,727
UT,Dermatology,F,34
SD,Dermatology,F,20
RI,Dermatology,F,43
MS,Dermatology,F,26
SC,Dermatology,F,66
PR,Dermatology,F,31
AZ,Dermatology,F,104
KS,Dermatology,F,30
DE,Dermatology,F,7
GA,Dermatology,F,133
NM,Dermatology,F,15
NE,Dermatology,F,17
DC,Dermatology,F,37
MI,Dermatology,F,183
CO,Dermatology,F,120
IL,Dermatology,F,227
FL,Dermatology,F,393
AL,Dermatology,F,58
WV,Dermatology,F,14
MD,Dermatology,F,136
NH,Dermatology,F,23
MO,Dermatology,F,112
TX,Dermatology,F,398
OR,Dermatology,F,70
KY,Dermatology,F,63
NC,Hospitalist,F,96
AL,Hospitalist,F,37
KY,Hospitalist,F,50
MT,Hospitalist,F,24
AK,Hospitalist,F,14
GA,Hospitalist,F,201
MN,Hospitalist,F,76
VT,Hospitalist,F,9
ND,Hospitalist,F,7
SD,Hospitalist,F,18
DE,Hospitalist,F,16
AR,Hospitalist,F,30
CA,Hospitalist,F,518
CIUDAD DE BUENOS AIRES,Hospitalist,F,1
KS,Hospitalist,F,22
NM,Hospitalist,F,14
ME,Hospitalist,F,50
NH,Hospitalist,F,34
DC,Hospitalist,F,38
SC,Hospitalist,F,53
NE,Hospitalist,F,26
NY,Hospitalist,F,340
OH,Hospitalist,F,137
MD,Hospitalist,F,121
PR,Hospitalist,F,26
NV,Hospitalist,F,31
AZ,Hospitalist,F,143
UT,Hospitalist,F,43
MI,Hospitalist,F,68
VA,Hospitalist,F,109
RI,Hospitalist,F,7
TN,Hospitalist,F,106
PA,Hospitalist,F,221
FL,Hospitalist,F,296
WA,Hospitalist,F,124
OR,Hospitalist,F,136
MS,Hospitalist,F,24
CT,Hospitalist,F,124
OK,Hospitalist,F,27
MA,Hospitalist,F,88
TX,Hospitalist,F,190
WY,Hospitalist,F,2
IN,Hospitalist,F,73
LA,Hospitalist,F,63
IL,Hospitalist,F,252
WV,Hospitalist,F,26
ID,Hospitalist,F,18
IA,Hospitalist,F,39
WI,Hospitalist,F,123
MO,Hospitalist,F,188
CO,Hospitalist,F,105
NJ,Hospitalist,F,106
HI,Hospitalist,F,23
RI,Optometrist,F,73
NY,Optometrist,F,1218
TX,Optometrist,F,1602
SILOM,Optometrist,F,1
CA,Optometrist,F,2720
NH,Optometrist,F,91
CO,Optometrist,F,362
NJ,Optometrist,F,471
PUESRTO RICO,Optometrist,F,1
HESSEN,Optometrist,F,1
DC,Optometrist,F,34
NC,Optometrist,F,426
AP,Optometrist,F,9
TN,Optometrist,F,386
MN,Optometrist,F,323
VI,Optometrist,F,5
VA,Optometrist,F,481
MT,Optometrist,F,45
MS,Optometrist,F,104
GA,Optometrist,F,420
